Car Name,Car Image,Car Link,Car Brand,Car Model,Car Color,Car KM,Seller Place,Date,Car Price
Mercedes C 180 2012,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579648/medium_up_d3bf64236b7cf1276a25224d021f7b36.jpg,https://eg.hatla2ee.com/en/car/en/car/mercedes/c-180/6579648,Mercedes,C 180,"
White ",83500.0,Alexandria,2024-07-19,1750000.0
Mercedes C 180 2010,https://media.hatla2eestatic.com/uploads/car/2024/07/18/6577614/medium_up_c61d991dd9aaacd2eb4a3491dd9f29a9.jpg,https://eg.hatla2ee.com/en/car/en/car/mercedes/c-180/6577614,Mercedes,C 180,"
Petroleum ",91000.0,6 October,2024-07-19,1100000.0
Chevrolet Captiva 2023,https://media.hatla2eestatic.com/uploads/car/2024/05/06/6449149/medium_up_2cce2f11719aaa45e3eb9e09a80f4fb5.jpg,https://eg.hatla2ee.com/en/car/en/car/chevrolet/captiva/6449149,Chevrolet,Captiva,"
Silver ",18000.0,Nasr city,2024-07-19,1200000.0
BMW 218 i 2020,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579530/medium_up_4d7f54ec0970431129092c650a402b6f.jpg,https://eg.hatla2ee.com/en/car/en/car/bmw/218-i/6579530,BMW,218 i,"
Dark blue ",116000.0,Tagamo3 - New Cairo,2024-07-19,1450000.0
Renault Megane 2019,https://media.hatla2eestatic.com/uploads/car/2024/03/26/6368077/medium_up_f0a741e4ae8b0700d4d8b45a147f139f.jpg,https://eg.hatla2ee.com/en/car/en/car/renault/megane/6368077,Renault,Megane,"
White ",141500.0,"
150,000 Km ",2024-07-19,780000.0
MG 5 2022,https://media.hatla2eestatic.com/uploads/car/2024/07/16/6574730/medium_up_70522dae0267dcba9e912c49cf7ac635.jpg,https://eg.hatla2ee.com/en/car/en/car/moris-garage/mg-5/6574730,MG,5,"
Red ",141500.0,"
4,000 Km ",2024-07-19,670000.0
Mercedes C 180 2013,https://media.hatla2eestatic.com/uploads/car/2024/07/01/6546590/medium_up_fa749ef1b799ec3ca7dc7e1aff9ece17.jpg,https://eg.hatla2ee.com/en/car/en/car/mercedes/c-180/6546590,Mercedes,C 180,"
Petroleum ",195000.0,Pyramids Gardens,2024-07-19,1400000.0
Nissan Sunny 2020,https://media.hatla2eestatic.com/uploads/car/2024/07/02/6548597/medium_up_e5121020eadd7328ff2aa81a4c936c2b.jpg,https://eg.hatla2ee.com/en/car/en/car/nissan/sunny/6548597,Nissan,Sunny,"
Black ",141500.0,"
32,000 Km ",2024-07-19,670000.0
Hyundai Accent RB 2019,https://media.hatla2eestatic.com/uploads/car/2024/07/02/6548604/medium_up_9a13246bcf0d249cca55f7fdb79cfb2f.jpg,https://eg.hatla2ee.com/en/car/en/car/hyundai/Accent-RB/6548604,Hyundai,Accent RB,"
Black ",141500.0,"
150,000 Km ",2024-07-19,770000.0
Nissan Sunny 2012,https://media.hatla2eestatic.com/uploads/car/2024/06/29/6543122/medium_up_29be273f4eb9ea9048167affd62e2ebd.jpg,https://eg.hatla2ee.com/en/car/en/car/nissan/sunny/6543122,Nissan,Sunny,"
Bronze ",150000.0,El Haram,2024-07-19,565000.0
MG ZS 2022,https://media.hatla2eestatic.com/images/car/make-320x229/moris-garage.png,https://eg.hatla2ee.com/en/car/en/car/moris-garage/zs/6573756,MG,ZS,"
Black ",141500.0,"
59,000 Km ",2024-07-19,795000.0
Citroën C Elysee 2015,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579426/medium_up_cf69b2716dec8c7d9b1e327acf127c9b.jpg,https://eg.hatla2ee.com/en/car/en/car/citroen/c-elysee/6579426,Citroën,C Elysee,"
Black ",24000.0,Alexandria,2024-07-19,670000.0
Kia K3 2014,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579576/medium_up_f9abe9590a62e3523c76962bd92f5e31.jpg,https://eg.hatla2ee.com/en/car/en/car/kia/K3/6579576,Kia,K3,"
Silver ",169000.0,Kafr el-Sheikh,2024-07-19,655000.0
Chevrolet Captiva 2021,https://media.hatla2eestatic.com/uploads/car/2024/07/13/6567798/medium_up_2ad1abb4e2f74cf2b37f77ecc5c3e56f.jpg,https://eg.hatla2ee.com/en/car/en/car/chevrolet/captiva/6567798,Chevrolet,Captiva,"
Dark grey ",900000.0,Tagamo3 - New Cairo,2024-07-19,520000.0
Renault Logan 2014,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579666/medium_up_f5fa17649ef6cf808a49c250ff8cfd87.jpg,https://eg.hatla2ee.com/en/car/en/car/renault/logan/6579666,Renault,Logan,"
Silver ",170000.0,Cairo,2024-07-19,300000.0
Opel Insignia 2015,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579663/medium_up_4490c4e9680f8b7e8227c337a13384c1.jpg,https://eg.hatla2ee.com/en/car/en/car/opel/insignia/6579663,Opel,Insignia,"
Brown ",133000.0,Alexandria,2024-07-19,840000.0
Ssang Yong Torres 2024,https://media.hatla2eestatic.com/uploads/car/2024/07/16/6573716/medium_up_68d8d01dff0dcf92bef3fd88e4106b14.jpg,https://eg.hatla2ee.com/en/car/en/car/ssang-yong/Torres/6573716,Ssang Yong,Torres,"
Dark grey ",0.0,Alexandria,2024-07-19,500000.0
Kia Sorento 2024,https://media.hatla2eestatic.com/uploads/car/2024/07/16/6573711/medium_up_deb9bc4098e8d57a772e92ec4d0941d6.jpg,https://eg.hatla2ee.com/en/car/en/car/kia/sorento/6573711,Kia,Sorento,"
Dark grey ",0.0,Alexandria,2024-07-19,750000.0
Skoda Octavia A7 2017,https://media.hatla2eestatic.com/uploads/car/2024/07/13/6567762/medium_up_90d69fccffc3218842c8e6fe20ce2128.jpg,https://eg.hatla2ee.com/en/car/en/car/skoda/Octavia-A7/6567762,Skoda,Octavia A7,"
Silver ",195000.0,Mansoura,2024-07-19,930000.0
Hyundai Accent RB 2015,https://media.hatla2eestatic.com/uploads/car/2024/07/13/6567759/medium_up_444ef7225e44a2d4912dc1376bff3be0.jpg,https://eg.hatla2ee.com/en/car/en/car/hyundai/Accent-RB/6567759,Hyundai,Accent RB,"
Gray ",141500.0,Heliopolis,2024-07-19,570000.0
Peugeot 5008 2011,https://media.hatla2eestatic.com/images/car/make-320x229/peugeot.png,https://eg.hatla2ee.com/en/car/en/car/peugeot/5008/6567731,Peugeot,5008,"
Gray ",160000.0,Cairo,2024-07-19,165000.0
Kia Sportage 2022,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579653/medium_up_7078e9c27b4e4549a5d3b142087d6986.jpg,https://eg.hatla2ee.com/en/car/en/car/kia/sportage/6579653,Kia,Sportage,"
Silver ",141500.0,"
22,000 Km ",2024-07-19,1800000.0
BMW X3 2017,https://media.hatla2eestatic.com/uploads/car/2024/07/16/6573689/medium_up_26c2aa37af5d5729c9afe77832bb6e0a.jpg,https://eg.hatla2ee.com/en/car/en/car/bmw/x3/6573689,BMW,X3,"
White ",141500.0,"
80,000 Km ",2024-07-19,2300000.0
Kia Sorento 2021,https://media.hatla2eestatic.com/uploads/car/2024/07/16/6573695/medium_up_ffc8eae15820e4dcb529bcd71aa10cdf.jpg,https://eg.hatla2ee.com/en/car/en/car/kia/sorento/6573695,Kia,Sorento,"
Red ",30000.0,Alexandria,2024-07-19,600000.0
